N,F,f,m,r,pfail
2000,1/4,1/2,500,51,0.008
2000,1/4,1/2,666,51,0.002
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.008
2000,1/4,1/2,8000,51,0.006
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.01
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.011
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.01
2000,1/4,1/2,500,51,0.002
2000,1/4,1/2,666,51,0.011
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.007
2000,1/4,1/2,6000,51,0.013
2000,1/4,1/2,8000,51,0.014
2000,1/4,1/2,500,51,0.009
2000,1/4,1/2,666,51,0.01
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.004
2000,1/4,1/2,6000,51,0.007
2000,1/4,1/2,8000,51,0.009
2000,1/4,1/2,500,51,0.014
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.013
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.019
2000,1/4,1/2,8000,51,0.015
2000,1/4,1/2,500,51,0.009
2000,1/4,1/2,666,51,0.006
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.018
2000,1/4,1/2,4000,51,0.011
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.015
2000,1/4,1/2,500,51,0.004
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.006
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.012
2000,1/4,1/2,8000,51,0.01
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.014
2000,1/4,1/2,2000,51,0.007
2000,1/4,1/2,4000,51,0.017
2000,1/4,1/2,6000,51,0.013
2000,1/4,1/2,8000,51,0.019
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.01
2000,1/4,1/2,1000,51,0.007
2000,1/4,1/2,2000,51,0.007
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.012
2000,1/4,1/2,500,51,0.013
2000,1/4,1/2,666,51,0.01
2000,1/4,1/2,1000,51,0.005
2000,1/4,1/2,2000,51,0.006
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.017
2000,1/4,1/2,8000,51,0.017
2000,1/4,1/2,500,51,0.002
2000,1/4,1/2,666,51,0.009
2000,1/4,1/2,1000,51,0.003
2000,1/4,1/2,2000,51,0.016
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.007
2000,1/4,1/2,8000,51,0.017
2000,1/4,1/2,500,51,0.009
2000,1/4,1/2,666,51,0.006
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.006
2000,1/4,1/2,4000,51,0.016
2000,1/4,1/2,6000,51,0.014
2000,1/4,1/2,8000,51,0.01
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.015
2000,1/4,1/2,2000,51,0.013
2000,1/4,1/2,4000,51,0.015
2000,1/4,1/2,6000,51,0.013
2000,1/4,1/2,8000,51,0.013
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.01
2000,1/4,1/2,4000,51,0.01
2000,1/4,1/2,6000,51,0.005
2000,1/4,1/2,8000,51,0.016
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.006
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.015
2000,1/4,1/2,4000,51,0.014
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.018
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.007
2000,1/4,1/2,6000,51,0.014
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.011
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.013
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.004
2000,1/4,1/2,6000,51,0.012
2000,1/4,1/2,8000,51,0.009
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.01
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.006
2000,1/4,1/2,4000,51,0.015
2000,1/4,1/2,6000,51,0.017
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.013
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.008
2000,1/4,1/2,8000,51,0.006
2000,1/4,1/2,500,51,0.012
2000,1/4,1/2,666,51,0.009
2000,1/4,1/2,1000,51,0.006
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.01
2000,1/4,1/2,6000,51,0.015
2000,1/4,1/2,8000,51,0.008
2000,1/4,1/2,500,51,0.004
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.009
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.019
2000,1/4,1/2,8000,51,0.014
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.009
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.01
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.007
2000,1/4,1/2,8000,51,0.008
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.014
2000,1/4,1/2,4000,51,0.014
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.003
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.009
2000,1/4,1/2,1000,51,0.005
2000,1/4,1/2,2000,51,0.014
2000,1/4,1/2,4000,51,0.018
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.015
2000,1/4,1/2,500,51,0.011
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.006
2000,1/4,1/2,2000,51,0.017
2000,1/4,1/2,4000,51,0.01
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.015
2000,1/4,1/2,500,51,0.009
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.005
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.009
2000,1/4,1/2,8000,51,0.016
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.009
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.012
2000,1/4,1/2,4000,51,0.015
2000,1/4,1/2,6000,51,0.017
2000,1/4,1/2,8000,51,0.005
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.015
2000,1/4,1/2,6000,51,0.009
2000,1/4,1/2,8000,51,0.012
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.004
2000,1/4,1/2,1000,51,0.007
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.015
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.017
2000,1/4,1/2,500,51,0.008
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.01
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.015
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.013
2000,1/4,1/2,500,51,0.003
2000,1/4,1/2,666,51,0.008
2000,1/4,1/2,1000,51,0.009
2000,1/4,1/2,2000,51,0.007
2000,1/4,1/2,4000,51,0.01
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.015
2000,1/4,1/2,500,51,0.01
2000,1/4,1/2,666,51,0.009
2000,1/4,1/2,1000,51,0.01
2000,1/4,1/2,2000,51,0.012
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.013
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.007
2000,1/4,1/2,2000,51,0.012
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.008
2000,1/4,1/2,8000,51,0.009
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.01
2000,1/4,1/2,1000,51,0.01
2000,1/4,1/2,2000,51,0.01
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.013
2000,1/4,1/2,8000,51,0.014
2000,1/4,1/2,500,51,0.01
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.01
2000,1/4,1/2,2000,51,0.01
2000,1/4,1/2,4000,51,0.009
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.01
2000,1/4,1/2,500,51,0.008
2000,1/4,1/2,666,51,0.004
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.007
2000,1/4,1/2,4000,51,0.014
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.01
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.009
2000,1/4,1/2,2000,51,0.006
2000,1/4,1/2,4000,51,0.008
2000,1/4,1/2,6000,51,0.012
2000,1/4,1/2,8000,51,0.019
2000,1/4,1/2,500,51,0.008
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.005
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.012
2000,1/4,1/2,8000,51,0.015
2000,1/4,1/2,500,51,0.011
2000,1/4,1/2,666,51,0.008
2000,1/4,1/2,1000,51,0.013
2000,1/4,1/2,2000,51,0.012
2000,1/4,1/2,4000,51,0.011
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.009
2000,1/4,1/2,500,51,0.01
2000,1/4,1/2,666,51,0.009
2000,1/4,1/2,1000,51,0.007
2000,1/4,1/2,2000,51,0.005
2000,1/4,1/2,4000,51,0.015
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.003
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.013
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.004
2000,1/4,1/2,8000,51,0.009
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.008
2000,1/4,1/2,1000,51,0.007
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.009
2000,1/4,1/2,6000,51,0.011
2000,1/4,1/2,8000,51,0.01
2000,1/4,1/2,500,51,0.003
2000,1/4,1/2,666,51,0.006
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.005
2000,1/4,1/2,4000,51,0.017
2000,1/4,1/2,6000,51,0.012
2000,1/4,1/2,8000,51,0.008
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.014
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.004
2000,1/4,1/2,666,51,0.016
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.016
2000,1/4,1/2,8000,51,0.016
2000,1/4,1/2,500,51,0.009
2000,1/4,1/2,666,51,0.014
2000,1/4,1/2,1000,51,0.01
2000,1/4,1/2,2000,51,0.012
2000,1/4,1/2,4000,51,0.009
2000,1/4,1/2,6000,51,0.015
2000,1/4,1/2,8000,51,0.006
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.017
2000,1/4,1/2,2000,51,0.017
2000,1/4,1/2,4000,51,0.014
2000,1/4,1/2,6000,51,0.02
2000,1/4,1/2,8000,51,0.005
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.01
2000,1/4,1/2,1000,51,0.005
2000,1/4,1/2,2000,51,0.005
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.008
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.01
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.007
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.008
2000,1/4,1/2,6000,51,0.008
2000,1/4,1/2,8000,51,0.019
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.006
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.012
2000,1/4,1/2,4000,51,0.01
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.02
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.004
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.012
2000,1/4,1/2,4000,51,0.019
2000,1/4,1/2,6000,51,0.015
2000,1/4,1/2,8000,51,0.013
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.006
2000,1/4,1/2,2000,51,0.012
2000,1/4,1/2,4000,51,0.009
2000,1/4,1/2,6000,51,0.017
2000,1/4,1/2,8000,51,0.018
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.008
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.009
2000,1/4,1/2,6000,51,0.009
2000,1/4,1/2,8000,51,0.014
2000,1/4,1/2,500,51,0.014
2000,1/4,1/2,666,51,0.008
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.011
2000,1/4,1/2,6000,51,0.016
2000,1/4,1/2,8000,51,0.018
2000,1/4,1/2,500,51,0.003
2000,1/4,1/2,666,51,0.008
2000,1/4,1/2,1000,51,0.005
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.006
2000,1/4,1/2,6000,51,0.009
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.011
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.012
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.009
2000,1/4,1/2,6000,51,0.015
2000,1/4,1/2,8000,51,0.012
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.015
2000,1/4,1/2,2000,51,0.013
2000,1/4,1/2,4000,51,0.018
2000,1/4,1/2,6000,51,0.013
2000,1/4,1/2,8000,51,0.019
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.014
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.014
2000,1/4,1/2,4000,51,0.017
2000,1/4,1/2,6000,51,0.014
2000,1/4,1/2,8000,51,0.015
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.011
2000,1/4,1/2,1000,51,0.005
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.016
2000,1/4,1/2,8000,51,0.01
2000,1/4,1/2,500,51,0.011
2000,1/4,1/2,666,51,0.003
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.007
2000,1/4,1/2,6000,51,0.016
2000,1/4,1/2,8000,51,0.014
2000,1/4,1/2,500,51,0.009
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.007
2000,1/4,1/2,4000,51,0.009
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.01
2000,1/4,1/2,500,51,0.008
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.009
2000,1/4,1/2,2000,51,0.007
2000,1/4,1/2,4000,51,0.006
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.012
2000,1/4,1/2,500,51,0.004
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.013
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.017
2000,1/4,1/2,6000,51,0.015
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.01
2000,1/4,1/2,666,51,0.006
2000,1/4,1/2,1000,51,0.007
2000,1/4,1/2,2000,51,0.017
2000,1/4,1/2,4000,51,0.007
2000,1/4,1/2,6000,51,0.016
2000,1/4,1/2,8000,51,0.009
2000,1/4,1/2,500,51,0.003
2000,1/4,1/2,666,51,0.011
2000,1/4,1/2,1000,51,0.006
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.013
2000,1/4,1/2,6000,51,0.013
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.003
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.013
2000,1/4,1/2,2000,51,0.018
2000,1/4,1/2,4000,51,0.009
2000,1/4,1/2,6000,51,0.015
2000,1/4,1/2,8000,51,0.016
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.008
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.014
2000,1/4,1/2,6000,51,0.015
2000,1/4,1/2,8000,51,0.007
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.006
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.016
2000,1/4,1/2,4000,51,0.016
2000,1/4,1/2,6000,51,0.007
2000,1/4,1/2,8000,51,0.018
2000,1/4,1/2,500,51,0.01
2000,1/4,1/2,666,51,0.008
2000,1/4,1/2,1000,51,0.009
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.007
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.007
2000,1/4,1/2,1000,51,0.013
2000,1/4,1/2,2000,51,0.009
2000,1/4,1/2,4000,51,0.014
2000,1/4,1/2,6000,51,0.017
2000,1/4,1/2,8000,51,0.007
2000,1/4,1/2,500,51,0.004
2000,1/4,1/2,666,51,0.004
2000,1/4,1/2,1000,51,0.011
2000,1/4,1/2,2000,51,0.013
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.015
2000,1/4,1/2,8000,51,0.019
2000,1/4,1/2,500,51,0.003
2000,1/4,1/2,666,51,0.013
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.007
2000,1/4,1/2,4000,51,0.01
2000,1/4,1/2,6000,51,0.016
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.005
2000,1/4,1/2,1000,51,0.013
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.011
2000,1/4,1/2,6000,51,0.012
2000,1/4,1/2,8000,51,0.014
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.012
2000,1/4,1/2,1000,51,0.006
2000,1/4,1/2,2000,51,0.014
2000,1/4,1/2,4000,51,0.014
2000,1/4,1/2,6000,51,0.014
2000,1/4,1/2,8000,51,0.019
2000,1/4,1/2,500,51,0.009
2000,1/4,1/2,666,51,0.011
2000,1/4,1/2,1000,51,0.008
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.014
2000,1/4,1/2,6000,51,0.014
2000,1/4,1/2,8000,51,0.014
2000,1/4,1/2,500,51,0.007
2000,1/4,1/2,666,51,0.011
2000,1/4,1/2,1000,51,0.009
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.012
2000,1/4,1/2,6000,51,0.016
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.005
2000,1/4,1/2,666,51,0.009
2000,1/4,1/2,1000,51,0.009
2000,1/4,1/2,2000,51,0.008
2000,1/4,1/2,4000,51,0.018
2000,1/4,1/2,6000,51,0.013
2000,1/4,1/2,8000,51,0.012
2000,1/4,1/2,500,51,0.006
2000,1/4,1/2,666,51,0.003
2000,1/4,1/2,1000,51,0.009
2000,1/4,1/2,2000,51,0.011
2000,1/4,1/2,4000,51,0.01
2000,1/4,1/2,6000,51,0.01
2000,1/4,1/2,8000,51,0.011
2000,1/4,1/2,500,51,0.008
